text,label
"Nagesh become a datascientist",0
"Nagesh is a software developer",1
"prajwal is a donkey",1
"Harshita is not my girlfriend",1
"Breaking news! Scientists have discovered a cure for cancer!",0
"Exclusive! The moon landing was a hoax, here's the proof.",1
"Government announces new policies to tackle climate change.",0
"Shocking! Alien life discovered on Mars, NASA reveals photos.",1
"New study finds that regular exercise improves mental health.",0
"Famous actor found guilty of tax evasion, sources say.",1
"Tech giant announces a new smartphone with groundbreaking features.",0
"UFOs spotted over major cities, the truth is out there.",1
"New research suggests eating chocolate may improve heart health.",0
"Breaking! World leaders agree to fight against global poverty.",0
